otel_id,positive_reviews,negative_reviews,total_reviews,score,accuracy
59,5.0,4.0,9.0,5.555555555555555,0.9924528301886792
64,1.0,1.0,2.0,5.0,0.9924528301886792
65,4.0,3.0,7.0,5.7142857142857135,0.9924528301886792
66,1.0,0.0,1.0,10.0,0.9924528301886792
68,8.0,4.0,12.0,6.666666666666666,0.9924528301886792
70,2.0,2.0,4.0,5.0,0.9924528301886792
72,1.0,3.0,4.0,2.5,0.9924528301886792
73,1.0,2.0,3.0,3.333333333333333,0.9924528301886792
74,3.0,3.0,6.0,5.0,0.9924528301886792
76,2.0,4.0,6.0,3.333333333333333,0.9924528301886792
77,2.0,2.0,4.0,5.0,0.9924528301886792
79,4.0,3.0,7.0,5.7142857142857135,0.9924528301886792
81,2.0,1.0,3.0,6.666666666666666,0.9924528301886792
83,1.0,0.0,1.0,10.0,0.9924528301886792
84,6.0,6.0,12.0,5.0,0.9924528301886792
87,2.0,0.0,2.0,10.0,0.9924528301886792
94,2.0,2.0,4.0,5.0,0.9924528301886792
98,3.0,3.0,6.0,5.0,0.9924528301886792
99,3.0,2.0,5.0,6.0,0.9924528301886792
100,1.0,1.0,2.0,5.0,0.9924528301886792
101,3.0,2.0,5.0,6.0,0.9924528301886792
102,1.0,1.0,2.0,5.0,0.9924528301886792
103,3.0,1.0,4.0,7.5,0.9924528301886792
104,1.0,1.0,2.0,5.0,0.9924528301886792
107,3.0,2.0,5.0,6.0,0.9924528301886792
108,1.0,1.0,2.0,5.0,0.9924528301886792
109,7.0,8.0,15.0,4.666666666666667,0.9924528301886792
110,8.0,8.0,16.0,5.0,0.9924528301886792
111,4.0,4.0,8.0,5.0,0.9924528301886792
112,1.0,1.0,2.0,5.0,0.9924528301886792
113,3.0,4.0,7.0,4.285714285714286,0.9924528301886792
114,1.0,0.0,1.0,10.0,0.9924528301886792
115,4.0,4.0,8.0,5.0,0.9924528301886792
116,1.0,1.0,2.0,5.0,0.9924528301886792
117,2.0,2.0,4.0,5.0,0.9924528301886792
118,3.0,2.0,5.0,6.0,0.9924528301886792
119,4.0,4.0,8.0,5.0,0.9924528301886792
121,12.0,10.0,22.0,5.454545454545454,0.9924528301886792
122,6.0,1.0,7.0,8.571428571428571,0.9924528301886792
124,4.0,3.0,7.0,5.7142857142857135,0.9924528301886792
125,3.0,1.0,4.0,7.5,0.9924528301886792
126,5.0,3.0,8.0,6.25,0.9924528301886792
127,8.0,6.0,14.0,5.7142857142857135,0.9924528301886792
128,5.0,3.0,8.0,6.25,0.9924528301886792
129,1.0,1.0,2.0,5.0,0.9924528301886792
130,4.0,3.0,7.0,5.7142857142857135,0.9924528301886792
131,4.0,3.0,7.0,5.7142857142857135,0.9924528301886792
135,1.0,1.0,2.0,5.0,0.9924528301886792
139,1.0,1.0,2.0,5.0,0.9924528301886792
144,1.0,0.0,1.0,10.0,0.9924528301886792
145,3.0,2.0,5.0,6.0,0.9924528301886792
148,0.0,3.0,3.0,0.0,0.9924528301886792
149,16.0,16.0,32.0,5.0,0.9924528301886792
150,5.0,5.0,10.0,5.0,0.9924528301886792
152,5.0,5.0,10.0,5.0,0.9924528301886792
153,10.0,10.0,20.0,5.0,0.9924528301886792
155,0.0,1.0,1.0,0.0,0.9924528301886792
169,2.0,2.0,4.0,5.0,0.9924528301886792
186,1.0,1.0,2.0,5.0,0.9924528301886792
192,13.0,19.0,32.0,4.0625,0.9924528301886792
195,3.0,3.0,6.0,5.0,0.9924528301886792
198,4.0,4.0,8.0,5.0,0.9924528301886792
202,3.0,3.0,6.0,5.0,0.9924528301886792
217,2.0,2.0,4.0,5.0,0.9924528301886792
218,0.0,2.0,2.0,0.0,0.9924528301886792
221,1.0,0.0,1.0,10.0,0.9924528301886792
235,9.0,9.0,18.0,5.0,0.9924528301886792
