"id","otel_ad","fiyat","imageURL","score","fiyat_araligi","bolge","hava_alanina_uzakligi","denize_uzakligi","plaj","iskele","a_la_carte_restoran","asansor","acik_restoran","kapali_restoran","acik_havuz","kapali_havuz","bedensel_engelli_odasi","bar","su_kaydiragi","balo_salonu","kuafor","otopark","market","sauna","doktor","beach_voley","fitness","canli_eglence","wireless_internet","animasyon","sorf","parasut","arac_kiralama","kano","spa","masaj","masa_tenisi","cocuk_havuzu","cocuk_parki"
151,Club Kastalia Holiday Village,"47.609,20 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/01811/1050X700/tsr01811638149115859904604.jpg,"8,7",+33000,Antalya - Alanya-Konaklı ,"113 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,"0","1","1","1","2","0","0","3","1","0","1","0","0","1","1","1","1","0","1","1","0","0","1","0","0","1","1","1","0"
186,Side Sunberk Hotel,"30.257,50 TL",https://cdn.tatilsepeti.com/Files/TesisResim/02693/tsr02693636881564002625544.jpg,"7,9","29000-31000",Antalya - Side ,"65 km, Antalya ","200 - 300 Metre Arası",Özel Plaj,Yok,"0","0","1","1","1","0","0","1","0","0","0","1","0","1","1","1","0","0","1","1","0","1","1","1","1","1","1","1","0"
63,Larissa Inn Hotel,"27.216,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/04960/1050X700/tsr04960638149055651321424.jpg,"5,2","27000-29000",Antalya - Kemer-Çamyuva ,"55 km, Antalya HA ",No Info,Yok,Yok,"0","0","1","1","1","0","0","0","1","0","0","1","0","1","1","1","0","0","1","1","0","0","0","0","0","1","1","1","0"
52,Orange County Belek,"56.000,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/08801/1050X700/tsr08801638505908353317250.jpg,"8,5",+33000,Antalya - Belek ,"35 km, Antalya HA ",Denize Sıfır,Özel Plaj,Var,"1","1","1","1","1","1","0","1","1","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","1","1","1","1","0"
72,Museum Resort Spa,"27.300,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/12031/1050X700/tsr12031638531954978625417.jpg,"7,3","27000-29000",Bodrum - Bodrum Merkez-Azmakbaşı ,"35 km, Milas HA ","750 Metre ve Üzeri",Halk Plajı,Yok,"0","0","0","1","1","0","0","1","1","0","0","1","1","0","1","0","0","0","1","1","0","0","1","0","0","0","0","1","0"
4,Armonia Holiday Village Spa,"69.995,80 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/02078/1050X700/tsr02078638149178215246580.jpg,"8,3",+33000,Bodrum - Akyarlar ,"54 km, Milas HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Yok,"3","1","1","3","3","0","1","5","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
34,Rizom Beach Hotel Kumluca,"55.722,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/06246/1050X700/tsr06246638563971613196631.jpg,"8,3",+33000,Antalya - Kumluca ,"100 km, Antalya HA ",Denize Sıfır (Aradan Yol Geçiyor),Özel Plaj,Yok,"1","1","1","1","2","2","1","3","1","0","1","0","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1"
44,Timo Deluxe Resort,"58.202,90 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/01581/1050X700/tsr01581637926168782497439.jpg,"8,6",+33000,Antalya - Alanya-Konaklı ,"110 km, Antalya ",Denize Sıfır (Aradan Yol Geçiyor),Mavi Bayraklı Özel Plaj,Yok,"1","1","1","1","2","1","1","3","1","0","1","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1"
233,Qinn Hotel,"23.394,15 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/12551/1050X700/tsr12551638475687066314480.jpg,,"23000-25000",Antalya - Muratpaşa ,"11 km, Antalya ",Denize Sıfır,Halk Plajı,Var,"1","1","1","1","1","0","0","2","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","1","0"
133,Sianji Well Being Resort,"99.449,35 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/13550/1050X700/tsr13550638349480850188056.jpg,"9,7",+33000,Bodrum - Turgutreis-Kadıkalesi Mevkii ,"49 km, Milas HA ",Denize Sıfır,Özel Plaj,Yok,"1","0","1","1","1","1","0","1","0","0","1","1","1","1","1","0","1","0","0","0","0","0","1","0","1","1","1","1","0"
