id,otel_ad,fiyat,imageurl,score,bolge,hava_alanina_uzakligi,denize_uzakligi,plaj,iskele,a_la_carte_restoran,asansor,acik_restoran,kapali_restoran,acik_havuz,kapali_havuz,bedensel_engelli_odasi,bar,su_kaydiragi,balo_salonu,kuafor,otopark,market,sauna,doktor,beach_voley,fitness,canli_eglence,wireless_internet,animasyon,sorf,parasut,arac_kiralama,kano,spa,masaj,masa_tenisi,cocuk_havuzu,cocuk_parki
68,Sentido Kamelya Selin Hotel,36708.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/05937/1050X700/tsr05937637419966678766003.jpg,8.3,Antalya Side Çolaklı ,55,0.0,2.0,0,6,1,1,1,5,2,1,7,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
440,Marin Hotel Kemer,4500.0,https://cdn.tatilsepeti.com/Files/TesisResim/05998/tsr05998635900988918594152.jpg,,Antalya Kemer Beldibi ,45,300.0,2.0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0
734,No81 Hotel,12800.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/06107/1050X700/tsr06107638394581408532651.jpg,9.2,Bodrum Türkbükü ,38,0.0,2.0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0
331,Monte Carlo Hotel,10260.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/02907/1050X700/tsr02907637528976291188590.jpg,0.7,Antalya Alanya Obagöl ,115,50.0,2.0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0
735,Odette Bodrum,15000.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/11650/1050X700/tsr11650638198277251558381.jpg,,Bodrum Ortakent Yahşi ,47,750.0,,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
332,Munamar Park Otel,7335.5,https://cdn.tatilsepeti.com/Files/Images/Tesis/11414/1050X700/tsr11414637878836327076129.jpg,7.6,Marmaris İçmeler Altınsahil Mevkii ,95,200.0,-1.0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
736,Olympos Forest House Hotel,14400.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/11095/1050X700/tsr11095637287828750043046.jpg,,Antalya Olimpos ,90,750.0,-1.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
7,Aqı Pegasos Royal,20202.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/04845/1050X700/tsr04845637776887209088071.jpg,8.9,Antalya Alanya İncekum ,95,0.0,2.0,1,3,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1
123,Hoşça Kal Alaçatı,11000.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/09913/1050X700/tsr09913638230393568611755.jpg,,Çeşme Alaçatı ,0,,-1.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
441,Maris Beach Hotel,7247.0,https://cdn.tatilsepeti.com/Files/TesisResim/04503/tsr04503636324383576175114.jpg,0.8,Marmaris Siteler ,100,0.0,-1.0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
33,Kimeros Park Holiday Village,26784.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/04895/1050X700/tsr04895638506118317301257.jpg,8.1,Antalya Kemer ,46,0.0,2.0,1,1,0,1,1,2,0,1,4,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
122,Club Mermaid Village,10475.5,https://cdn.tatilsepeti.com/Files/Images/Tesis/02532/1050X700/tsr02532637334331868126951.jpg,6.9,Antalya Alanya Türkler ,110,500.0,2.0,0,1,1,1,1,3,1,0,4,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1
69,Sentido Trendy Verbena Beach,26400.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/04885/1050X700/tsr04885637097822215570390.jpg,7.5,Antalya Side Evrenseki ,55,0.0,2.0,0,5,1,1,1,3,1,1,6,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1
